"Df","SumOfSqs","R2","F","pvalue","comparison","data","source","features","ratio"
1,4.07264402785494,0.269815020468624,14.0416073532326,0.001,"BAR_BAY","bin","allSpecies",133,1
1,6.28421306969576,0.465398942149139,33.0810415392051,0.001,"BAR_BAY","bin","indvalSpecies",29,1.595355312302
1,3.38066954411068,0.228757591918668,11.2711495138539,0.001,"BAR_LAG","bin","allSpecies",137,1
1,5.79175162601512,0.440215182129918,29.8832272454007,0.001,"BAR_LAG","bin","indvalSpecies",29,1.79252204847186
1,1.2053201044142,0.0984629077466416,4.15023466757249,0.001,"BAY_LAG","bin","allSpecies",57,1
1,4.79103195937874,0.523951264525507,31.9181326174405,0.001,"BAY_LAG","bin","indvalSpecies",4,5.12272269795843
1,4.56710234650569,0.202981541523072,14.7712129915232,0.001,"INSHORE_OFFSHORE","bin","allSpecies",148,1
1,6.70590538666862,0.346533014737256,30.7573531762734,0.001,"INSHORE_OFFSHORE","bin","indvalSpecies",45,1.65253674908913
1,3.88970103088146,0.253433728601238,12.8997010122134,0.001,"BAR_BAY","maxN","allSpecies",133,1
1,5.39490918677257,0.374382040956625,22.7399443233781,0.001,"BAR_BAY","maxN","indvalSpecies",28,1.32964923826338
1,3.21945514862231,0.220336336774884,10.7389650080795,0.001,"BAR_LAG","maxN","allSpecies",137,1
1,4.81695405332217,0.347012031898952,20.1940278478755,0.001,"BAR_LAG","maxN","indvalSpecies",29,1.49886534203178
1,1.33167918933656,0.10846559456482,4.62314473601415,0.001,"BAY_LAG","maxN","allSpecies",57,1
1,1.62490915409267,0.18278323661221,8.49929088883366,0.001,"BAY_LAG","maxN","indvalSpecies",7,1.63254310986273
1,4.29554438989033,0.190698673470055,13.6667551364182,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",148,1
1,5.94762255287965,0.301403194834417,25.0235689186307,0.001,"INSHORE_OFFSHORE","maxN","indvalSpecies",44,1.45565060739461
1,3.48411180763547,0.291721184967628,12.3562012067647,0.001,"BAR_BAY","bin","allSpecies",117,1
1,0.675,0.36,3.375,0.201,"BAR_BAY","bin","bininterSpecies",148,1.33424743876282
1,2.88165864967964,0.245584249580196,9.76587177999151,0.001,"BAR_LAG","bin","allSpecies",120,1
1,0.852272727272727,0.228658536585366,2.66798418972332,0.116,"BAR_LAG","bin","bininterSpecies",148,0.999566985591727
1,0.945656333807466,0.102279841291101,3.41798633902349,0.001,"BAY_LAG","bin","allSpecies",43,1
1,0.225,0.138461538461538,0.964285714285714,0.468,"BAY_LAG","bin","bininterSpecies",148,1.40623044383189
1,3.80825172164341,0.209697614850782,12.2055689877675,0.001,"INSHORE_OFFSHORE","bin","allSpecies",133,1
1,0.981818181818182,0.45,7.36363636363637,0.057,"INSHORE_OFFSHORE","bin","bininterSpecies",148,2.2169503523494
1,3.40958793866845,0.281564513544637,11.7574028087266,0.001,"BAR_BAY","maxN","allSpecies",117,1
1,0.609651360544218,0.307297210415402,2.66172345516047,0.201,"BAR_BAY","maxN","bininterSpecies",148,1.21253478024196
1,2.7208556608148,0.231516482613817,9.03792250748328,0.001,"BAR_LAG","maxN","allSpecies",120,1
1,1.16219752627278,0.0900946082093909,2.67341466882234,0.001,"BAR_LAG","maxN","bininterSpecies",148,0.408895825028805
1,1.04449477494988,0.111962272547632,3.78234851132396,0.001,"BAY_LAG","maxN","allSpecies",43,1
1,0.107142857142857,0.125,0.714285714285715,1,"BAY_LAG","maxN","bininterSpecies",148,1.15243917208511
1,3.73544596378172,0.207057375790116,12.0117635192534,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",133,1
1,2.05120907842032,0.127463389292832,5.25901372874535,0.001,"INSHORE_OFFSHORE","maxN","bininterSpecies",148,0.668402076288416
1,3.48411180763547,0.291721184967628,12.3562012067647,0.001,"BAR_BAY","bin","allSpecies",117,1
1,2.42265513554824,0.257889739994881,7.64519045976841,0.001,"BAR_BAY","bin","terinterSpecies",148,0.884028151824143
1,2.88165864967964,0.245584249580196,9.76587177999151,0.001,"BAR_LAG","bin","allSpecies",120,1
1,1.3377916971917,0.123462167467227,3.23959759220095,0.001,"BAR_LAG","bin","terinterSpecies",148,0.502728361766987
1,0.945656333807466,0.102279841291101,3.41798633902349,0.001,"BAY_LAG","bin","allSpecies",43,1
1,0.225,0.138461538461538,0.964285714285714,0.468,"BAY_LAG","bin","terinterSpecies",148,1.35375198781801
1,3.80825172164341,0.209697614850782,12.2055689877675,0.001,"INSHORE_OFFSHORE","bin","allSpecies",133,1
1,1.07261904761905,0.215241280458672,3.56560121765601,0.024,"INSHORE_OFFSHORE","bin","terinterSpecies",148,1.02643647431009
1,3.40958793866845,0.281564513544637,11.7574028087266,0.001,"BAR_BAY","maxN","allSpecies",117,1
1,2.10236214285396,0.218939241982795,6.16682284211672,0.001,"BAR_BAY","maxN","terinterSpecies",148,0.777581092256806
1,2.7208556608148,0.231516482613817,9.03792250748328,0.001,"BAR_LAG","maxN","allSpecies",120,1
1,1.46056647718794,0.1362437425503,3.62788234716713,0.001,"BAR_LAG","maxN","terinterSpecies",148,0.58848398615991
1,1.04449477494988,0.111962272547632,3.78234851132396,0.001,"BAY_LAG","maxN","allSpecies",43,1
1,0.827236700045581,0.142678294670865,2.99561913353123,0.02,"BAY_LAG","maxN","terinterSpecies",148,1.27434261045537
1,3.73544596378172,0.207057375790116,12.0117635192534,0.001,"INSHORE_OFFSHORE","maxN","allSpecies",133,1
1,1.07116839371599,0.215983968790312,3.58129359924159,0.019,"INSHORE_OFFSHORE","maxN","terinterSpecies",148,1.04311168808226
